IE_XML_ID;IE_NAME;IP_PROP9;IP_PROP13;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1;CV_CURRENCY_1
7774;"Кольцо уплотнительное (двигатель) для Geely CK/Otaka 2006-2008";E050000301;"no image";"CK-Otaka 2006-2008";Двигатель;"Кольцо уплотнительное (двигатель)";;RUB
7775;"Прокладка свечного канала для Geely CK/Otaka 2006-2008";1106013107;"no image";"CK-Otaka 2006-2008";Двигатель;"Прокладка свечного канала";;RUB
7776;"Фара противотуманная левая для Geely CK/Otaka 2006-2008";1017001251;"no image";"CK-Otaka 2006-2008";Оптика;"Фара противотуманная левая";;RUB
7777;"Диск сцепления для Geely CK/Otaka 2006-2008";E100200005;"no image";"CK-Otaka 2006-2008";Трансмиссия;"Диск сцепления";;RUB
7778;"Диск сцепления для Geely CK/Otaka 2006-2008";1086001146;"no image";"CK-Otaka 2006-2008";Трансмиссия;"Диск сцепления";;RUB
7779;"Диск сцепления для Geely CK/Otaka 2006-2008";1106015058;"no image";"CK-Otaka 2006-2008";Трансмиссия;"Диск сцепления";;RUB
7780;"К-кт сцепления для Geely CK/Otaka 2006-2008";W06180F;"no image";"CK-Otaka 2006-2008";Трансмиссия;"К-кт сцепления";;RUB
7781;"Корзина сцепления для Geely CK/Otaka 2006-2008";E100100005;"no image";"CK-Otaka 2006-2008";Трансмиссия;"Корзина сцепления";;RUB
7782;"Корзина сцепления для Geely CK/Otaka 2006-2008";1086001145;"no image";"CK-Otaka 2006-2008";Трансмиссия;"Корзина сцепления";;RUB
7783;"Подшипник задней ступицы для Geely CK/Otaka 2006-2008";1034001507;"no image";"CK-Otaka 2006-2008";Трансмиссия;"Подшипник задней ступицы";;RUB
7784;"Пыльник внут ШРУСа (к-кт) для Geely CK/Otaka 2006-2008";1401106180;"no image";"CK-Otaka 2006-2008";Трансмиссия;"Пыльник внут ШРУСа (к-кт)";;RUB
7785;"Ступица передняя для Geely CK/Otaka 2006-2008";1402121180;"no image";"CK-Otaka 2006-2008";Трансмиссия;"Ступица передняя";;RUB
7786;"ШРУС для Geely CK/Otaka 2006-2008";1401101180;"no image";"CK-Otaka 2006-2008";Трансмиссия;ШРУС;;RUB
7787;"Датчик температуры для Geely CK/Otaka 2006-2008";E150050005;"no image";"CK-Otaka 2006-2008";Электрооснащение;"Датчик температуры";;RUB
7788;"Провод высокого напряжения для Geely CK/Otaka 2006-2008";1136000176;"no image";"CK-Otaka 2006-2008";Электрооснащение;"Провод высокого напряжения";;RUB
7789;"Провода высокого напряж. к-кт для Geely CK/Otaka 2006-2008";1016052126;"no image";"CK-Otaka 2006-2008";Электрооснащение;"Провода высокого напряж. к-кт";;RUB
